AuthorID,Author,Date,Content,Attachments,Reactions
7.57355E+17,neko neko#4061,2020-09-24 13:06,BTO SPY 330c 9/25 @.15 (scalp) @here,,"BullTrades (2),👍 (1)"
7.57355E+17,neko neko#4061,2020-09-24 13:06,risky,,
4.80583E+17,DCruz#3069,2020-09-24 13:15,BTO MSFT 207.5c 9/25 @.40 (scalp) @here,,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-24 13:16,we will sell some into this pop. scale out.,,
7.57355E+17,neko neko#4061,2020-09-24 13:17,i have limits on at .20,,
7.57355E+17,neko neko#4061,2020-09-24 13:18,STC SPY 330c 9/25 @.19 @here,,BullTrades (2)
4.80583E+17,DCruz#3069,2020-09-24 13:19,"STC MSFT 207.5c 9/25 @.43 @here 
(I think the market may dump here for power hour)",,BullTrades (1)
7.57355E+17,neko neko#4061,2020-09-24 13:21,STC NKE 129c 9/25 @.14 @here,,BullTrades (1)
4.80583E+17,DCruz#3069,2020-09-24 13:42,BTO COST 400c 9/25 @.32 (ER LOTTO) @here,,"BullTrades (5),vince (3),notstonks (1),🤡 (2)"
2.69994E+17,Cblast#2108,2020-09-24 13:45,"BTO QQQ 270c 10/2 @ 3.50 @here (swing, chart posted AH with targets)",,"BullTrades (17),🐐 (14),wut (6),👍 (3)"
7.57355E+17,neko neko#4061,2020-09-25 6:49,"For today.. I will be taking all same day expire contracts. 
Please do not ask me if I am going to take an SL, usually, I let these contracts expire worthless if they do not work out
I encourage you to look at the charts and see why I get into the play
Watch your sizing, size appropriately.
Normally, I would suggest to take next week EXP if you want a safer play, but this weekend is sounding exceptional... sounds like covid wave 2 is starting..
Trade safe all, let's make some money in @here.",,"🚀 (7),👍 (6),👈 (2),BullTrades (2)"
7.57355E+17,neko neko#4061,2020-09-25 7:34,BTO ZM 500c 9/25 @ 1.5 @here (DAY TRADE / scalp),,"BullTrades (2),BullTrades (1)"
7.57355E+17,neko neko#4061,2020-09-25 7:35,BTO BA 152.5c 9/25 @ .50 @here (DAY TRADE / scalp),,"BullTrades (1),BullTrades (1)"
7.57355E+17,neko neko#4061,2020-09-25 7:35,TSLA 430 ok to grab here,,
